0	Please pray that my ghetto chinese meal doesnt give me food poisoning http://t.co/g9MhCfCw
0	http://t.co/0kK7rtQO Mistakes That Up Your Risk of Food Poisoning1	“@DGainzBeats I got food poisoning last night..” You always getting good poisoning wtf!
1	Food poisoning &lt;&lt;
0	RT @amandamikol: The best part of Bridesmaids is definitely when they're trying on dresses & have food poisoning.
0	RT @amandamikol: The best part of Bridesmaids is definitely when they're trying on dresses & have food poisoning.
0	The best part of Bridesmaids is definitely when they're trying on dresses & have food poisoning.
1	I got food poisoning last night..0	http://t.co/0kK7rtQO Mistakes That Up Your Risk of Food Poisoning0	Michael Jordan played & won when he had the flu & food poisoning.
0	@KatDMakeup I got really bad food poisoning from a potluck once... with my own food. -_- luckily no one else got sick1	“@KatDMakeup: Food poisoning sucks :'(” oh no are you okay?
0	@StivoReact @MQueen24 hahaha wtf if u can cook why ain't no one cooking for me?! If Chris try's I may get food poisoning lol1	i think i got food poisoning .
1	FOOD POISONING =(
0	@DavidJaycox that's the only place I ever got food poisoning from. Suckksss.
0	"RT @MatthewMaxon: Everyone in the service industry. If you see this man in your hotel0	@TerrysTwoCents idk if food poisoning can be 'mild' my friend....u may need to go home :(
1	I got food poisoning from washu last night0	Understanding Food Poisoning http://t.co/1zhJH6LU0	What Causes Food Poisoning and How to Prevent It http://t.co/Yup96u090	@J_Mar1982 @derek_martin Yr-1 is all billing- then we study modern proliferation of food poisoning claims against wealthy private homeowners
1	I love getting food poisoning from a field trip to a Spanish restaurant I paid almost $30 for. #lividasshit0	"i thought i was feeling butterflies when you were around. turns out1	"So
1	The only advantage to having food poisoning is having an excuse to drink ginger ale all day0	Why do people laugh when I tell the story of my food poisoning in South Korea? glad parasites and non-control of bodily fuctions entertain u0	Understanding Food Poisoning http://t.co/1zhJH6LU0	"RT @JoanOfSnark9: I don't want to brag
0	"RT @JoanOfSnark9: I don't want to brag
0	"I don't want to brag
1	thanks for ruining ham food poisoning...you sly cruel bastard.
0	"@JoseCanseco If I start the charity ""Hugs for Haters"" would you sign autographs and take pictures? And possibly get food poisoning?"
0	"RT @MatthewMaxon: Everyone in the service industry. If you see this man in your hotel0	"Everyone in the service industry. If you see this man in your hotel1	Food poisoning can s my d
1	"Holy food poisoning. On a related note1	"Blah
1	My tummy hurts sooooooooooo bad. I think I have food poisoning.!0	"""I'm googling 'what do they do for birthdays at hooters' (pause).. All it says is ~gives you food poisoning~"""0	@Caitlin_Dewitt i see food poisoning in your future...
1	@Truk_Da_Wurl_ food poisoning
1	wtf my guts are in turmoil today!? do i have food poisoning maybe!? keep thinking i am on the verge of a big vom.
0	I hope the fruits are rotten and you get food poisoning.
0	@savvysassymoms Oh no! Did you get food poisoning? Hope you feel better!
1	So food poisoning sucks. Annnd I feel like crap. Awesome.0	What Causes Food Poisoning and How to Prevent It http://t.co/Yup96u091	I think I have food poisoning. I've spent the last 4 hours on the toilet
0	"Eating at deluxe diner
0	RT @08hayabusa: Marie Osmond: 'I'd rather have food poisoning' than endorse Obama or Romney http://t.co/HFMZDnEX
0	@Ricoe_Ley Lmao. Santi is crazy. We're all gonna get food poisoning and then we'll have to stay home tomorrow.
0	Tuna Source of 20-State Salmonella Outbreak http://t.co/2Qa949m6
0	RT @medicalneeds: What Causes Food Poisoning and How to Prevent It http://t.co/Yup96u090	What Causes Food Poisoning and How to Prevent It http://t.co/Yup96u090	Tuna Source of 20-State Salmonella Outbreak http://t.co/jX7kiuQM0	Tuna Source of 20-State Salmonella Outbreak http://t.co/G5B0nGS1 http://t.co/66XeRtNE0	"this guy on 4 square that is the mayor of mcdonald's- first tip: ""be careful at mcdonald's i got food poisoning there"""0	Health Buzz: Chin Implants Are On The Rise: Mistakes that up your risk of food poisoning; do you really have allergies? http://t.co/3O2IrhRy
0	@msginaphalange I had food poisoning once and it was horrible!! I was spewing convusively from every body orifice
0	That awkward moment after you eat a burrito at a new Mexican place and you're waiting to see if you get Diarrhea or food poisoning.
0	Still-life photos of rotting food are strangely beautiful (food poisoning waiting to happen) http://t.co/1xlAjIqL1	"Oooooh
1	:( RT @ashanti: Man oh Man it sucks being sick!! Had a little food poisoning over the weekend but Saltines & Ginger Ale got me thru it! Lol
1	Yo. Food poisoning ain't a joke. Some damn bad nachos got a brotha f*cked up right now.
1	Think I got food poisoning...
